File	Time	Song	Artist	Release	YouTube	Spotify	Unearthed
requestival_28	1:29am	Bring Me To Life	Evanescence	Fallen 	https://www.youtube.com/results?search_query=Evanescence%20Bring%20Me%20To%20Life	https://play.spotify.com/search/results/artist:Evanescence%20track:Bring%20Me%20To%20Life	NA
requestival_28	1:33am	Rain {Ft. Tay Keith}	Aitch x AJ Tracey	Rain 	https://www.youtube.com/results?search_query=Aitch%20x%20AJ%20Tracey%20Rain%20{Ft.%20Tay%20Keith}	https://play.spotify.com/search/results/artist:Aitch%20x%20AJ%20Tracey%20track:Rain%20%7BFt.%20Tay%20Keith%7D	NA
requestival_28	1:36am	Divinity	KUCKA	Divinity 	https://www.youtube.com/results?search_query=KUCKA%20Divinity	https://play.spotify.com/search/results/artist:KUCKA%20track:Divinity	NA
requestival_28	1:40am	Strangers	Tia Gostelow	Strangers 	https://www.youtube.com/results?search_query=Tia%20Gostelow%20Strangers	https://play.spotify.com/search/results/artist:Tia%20Gostelow%20track:Strangers	https://www.triplejunearthed.com/node/4781766
requestival_28	1:45am	9 To 5	Dolly Parton	9 To 5 And Odd Jobs 	https://www.youtube.com/results?search_query=Dolly%20Parton%209%20To%205	https://play.spotify.com/search/results/artist:Dolly%20Parton%20track:9%20To%205	NA
requestival_28	1:48am	WHATS POPPIN	Jack Harlow	WHATS POPPIN 	https://www.youtube.com/results?search_query=Jack%20Harlow%20WHATS%20POPPIN	https://play.spotify.com/search/results/artist:Jack%20Harlow%20track:WHATS%20POPPIN	NA
requestival_28	1:50am	Around The World / Harder, Better, Faster, Stronger (Live)	Daft Punk	Alive 2007 	https://www.youtube.com/results?search_query=Daft%20Punk%20Around%20The%20World%20/%20Harder,%20Better,%20Faster,%20Stronger%20(Live)	https://play.spotify.com/search/results/artist:Daft%20Punk%20track:Around%20The%20World%20/%20Harder,%20Better,%20Faster,%20Stronger%20(Live)	NA
requestival_28	1:57am	destiny's	Arno Faraji	destiny's 	https://www.youtube.com/results?search_query=Arno%20Faraji%20destiny%27s	https://play.spotify.com/search/results/artist:Arno%20Faraji%20track:destiny's	https://www.triplejunearthed.com/node/5287181
requestival_28	2:05am	Paper Planes	M.I.A.	Kala 	https://www.youtube.com/results?search_query=M.I.A.%20Paper%20Planes	https://play.spotify.com/search/results/artist:M.I.A.%20track:Paper%20Planes	NA
requestival_28	2:09am	Afterglow	Asgeir	Afterglow 	https://www.youtube.com/results?search_query=Asgeir%20Afterglow	https://play.spotify.com/search/results/artist:Asgeir%20track:Afterglow	NA
requestival_28	2:13am	Bags	Clairo	Immunity 	https://www.youtube.com/results?search_query=Clairo%20Bags	https://play.spotify.com/search/results/artist:Clairo%20track:Bags	NA
requestival_28	2:17am	Say Your Last Goodbye	Cog	Sharing Space 	https://www.youtube.com/results?search_query=Cog%20Say%20Your%20Last%20Goodbye	https://play.spotify.com/search/results/artist:Cog%20track:Say%20Your%20Last%20Goodbye	NA
requestival_28	2:23am	Be Your Shadow (triple j Like A Version 2015)	The Wombats	Like A Version 	https://www.youtube.com/results?search_query=The%20Wombats%20Be%20Your%20Shadow%20(triple%20j%20Like%20A%20Version%202015)	https://play.spotify.com/search/results/artist:The%20Wombats%20track:Be%20Your%20Shadow%20(triple%20j%20Like%20A%20Version%202015)	NA
requestival_28	2:27am	Discipline	Club Cheval	Discipline (Single) 	https://www.youtube.com/results?search_query=Club%20Cheval%20Discipline	https://play.spotify.com/search/results/artist:Club%20Cheval%20track:Discipline	NA
requestival_28	2:30am	Hoodlum	Dallas Woods	Hoodlum 	https://www.youtube.com/results?search_query=Dallas%20Woods%20Hoodlum	https://play.spotify.com/search/results/artist:Dallas%20Woods%20track:Hoodlum	https://www.triplejunearthed.com/node/7159616
requestival_28	2:35am	Fantasy	Mariah Carey	Daydream 	https://www.youtube.com/results?search_query=Mariah%20Carey%20Fantasy	https://play.spotify.com/search/results/artist:Mariah%20Carey%20track:Fantasy	NA
requestival_28	2:39am	All Torn Down	The Living End	The Living End 	https://www.youtube.com/results?search_query=The%20Living%20End%20All%20Torn%20Down	https://play.spotify.com/search/results/artist:The%20Living%20End%20track:All%20Torn%20Down	NA
requestival_28	2:43am	Good Luck	Basement Jaxx	Kish Kash 	https://www.youtube.com/results?search_query=Basement%20Jaxx%20Good%20Luck	https://play.spotify.com/search/results/artist:Basement%20Jaxx%20track:Good%20Luck	NA
requestival_28	2:49am	Test & Recognise (Flume Re-work)	Seekae	 	https://www.youtube.com/results?search_query=Seekae%20Test%20&%20Recognise%20(Flume%20Re-work)	https://play.spotify.com/search/results/artist:Seekae%20track:Test%20&%20Recognise%20(Flume%20Re-work)	NA
