DateTime	Song	Artist	Release	IsUnearthed	UnearthedURL	SpotifyQuery	SpotifyURL	YouTubeQuery	YouTubeURL
2020-05-25T01:40:00Z	Take A Walk On The Wild Side / Can I Kick It (triple j Like A Version 2013)	Horrorshow	Like A Version	FALSE	NA	artist:Horrorshow%20track:Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)	https://play.spotify.com/search/results/artist:Horrorshow%20track:Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)	Horrorshow%20Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)	https://www.youtube.com/results?search_query=Horrorshow%20Take%20A%20Walk%20On%20The%20Wild%20Side%20/%20Can%20I%20Kick%20It%20(triple%20j%20Like%20A%20Version%202013)
2020-05-25T01:47:00Z	Coin Laundry	Lisa Mitchell	Coin Laundry	FALSE	NA	artist:Lisa%20Mitchell%20track:Coin%20Laundry	https://play.spotify.com/search/results/artist:Lisa%20Mitchell%20track:Coin%20Laundry	Lisa%20Mitchell%20Coin%20Laundry	https://www.youtube.com/results?search_query=Lisa%20Mitchell%20Coin%20Laundry
2020-05-25T01:51:00Z	Gamma Knife	King Gizzard & The Lizard Wizard	Nonagon Infinity	FALSE	NA	artist:King%20Gizzard%20&%20The%20Lizard%20Wizard%20track:Gamma%20Knife	https://play.spotify.com/search/results/artist:King%20Gizzard%20&%20The%20Lizard%20Wizard%20track:Gamma%20Knife	King%20Gizzard%20&%20The%20Lizard%20Wizard%20Gamma%20Knife	https://www.youtube.com/results?search_query=King%20Gizzard%20&%20The%20Lizard%20Wizard%20Gamma%20Knife
2020-05-25T01:56:00Z	Better	Jack Garratt	Love, Death & Dancing Vol. 2	FALSE	NA	artist:Jack%20Garratt%20track:Better	https://play.spotify.com/search/results/artist:Jack%20Garratt%20track:Better	Jack%20Garratt%20Better	https://www.youtube.com/results?search_query=Jack%20Garratt%20Better
2020-05-25T02:26:00Z	Waterbed	Tired Lion	Waterbed	TRUE	https://www.triplejunearthed.com/node/237111	artist:Tired%20Lion%20track:Waterbed	https://play.spotify.com/search/results/artist:Tired%20Lion%20track:Waterbed	Tired%20Lion%20Waterbed	https://www.youtube.com/results?search_query=Tired%20Lion%20Waterbed
2020-05-25T02:30:00Z	Let Me Down	Oliver Tree	Let Me Down	FALSE	NA	artist:Oliver%20Tree%20track:Let%20Me%20Down	https://play.spotify.com/search/results/artist:Oliver%20Tree%20track:Let%20Me%20Down	Oliver%20Tree%20Let%20Me%20Down	https://www.youtube.com/results?search_query=Oliver%20Tree%20Let%20Me%20Down
2020-05-25T02:33:00Z	Mooo!	Doja Cat	Mooo!	FALSE	NA	artist:Doja%20Cat%20track:Mooo!	https://play.spotify.com/search/results/artist:Doja%20Cat%20track:Mooo!	Doja%20Cat%20Mooo!	https://www.youtube.com/results?search_query=Doja%20Cat%20Mooo!
2020-05-25T02:37:00Z	Wolves	Azure Ryder	Wolves	FALSE	NA	artist:Azure%20Ryder%20track:Wolves	https://play.spotify.com/search/results/artist:Azure%20Ryder%20track:Wolves	Azure%20Ryder%20Wolves	https://www.youtube.com/results?search_query=Azure%20Ryder%20Wolves
2020-05-25T02:40:00Z	Circles	Digitalism	I Love You, Dude	FALSE	NA	artist:Digitalism%20track:Circles	https://play.spotify.com/search/results/artist:Digitalism%20track:Circles	Digitalism%20Circles	https://www.youtube.com/results?search_query=Digitalism%20Circles
2020-05-25T02:45:00Z	My Hero	Pacific Avenue	My Hero	TRUE	https://www.triplejunearthed.com/node/5904191	artist:Pacific%20Avenue%20track:My%20Hero	https://play.spotify.com/search/results/artist:Pacific%20Avenue%20track:My%20Hero	Pacific%20Avenue%20My%20Hero	https://www.youtube.com/results?search_query=Pacific%20Avenue%20My%20Hero
2020-05-25T02:48:00Z	Real Thing	Middle Kids	Real Thing	TRUE	https://www.triplejunearthed.com/node/4991941	artist:Middle%20Kids%20track:Real%20Thing	https://play.spotify.com/search/results/artist:Middle%20Kids%20track:Real%20Thing	Middle%20Kids%20Real%20Thing	https://www.youtube.com/results?search_query=Middle%20Kids%20Real%20Thing
2020-05-25T02:52:00Z	Man's Not Hot	Big Shaq	Man's Not Hot	FALSE	NA	artist:Big%20Shaq%20track:Man's%20Not%20Hot	https://play.spotify.com/search/results/artist:Big%20Shaq%20track:Man's%20Not%20Hot	Big%20Shaq%20Man%27s%20Not%20Hot	https://www.youtube.com/results?search_query=Big%20Shaq%20Man%27s%20Not%20Hot
